game_id,player_id,attempts,prediction_v2,crps_v2,prediction_v1,crps_v1,mae_difference,crps_difference
2025_06_TEN_LV,00-0040676,38.0,32.35326958030304,3.6278964527347113,33.11222242706692,3.3588956799521363,0.7589528467638758,0.26900077278257495
2025_06_CIN_GB,00-0036264,26.0,28.829146807942955,2.2839156691597453,28.988062989611407,2.2893242304944375,-0.15891618166845234,-0.005408561334692141
2025_06_CIN_GB,00-0026158,45.0,31.23944724040571,9.625699937347814,32.50099661941606,8.679116936929358,1.2615493790103471,0.9465830004184568
2025_06_SF_TB,00-0034855,23.0,34.0728773145848,6.766035705974441,34.27890237308487,6.76496613101232,-0.20602505850006736,0.0010695749621207895
2025_06_SF_TB,00-0036972,39.0,31.989667713837825,4.383620692301104,32.19896015866155,4.379427046951177,0.2092924448237241,0.004193645349927166
2025_06_DET_KC,00-0033873,30.0,36.28867509458954,3.596949072341559,35.141346237509325,2.97071138032786,1.1473288570802183,0.6262376920136989
2025_06_DET_KC,00-0033106,29.0,34.788867543389074,3.3448209983954094,33.6130320341287,2.766126159926649,1.1758355092603736,0.5786948384687602
2025_06_BUF_ATL,00-0039917,32.0,32.44165339817294,2.0188474599095043,32.286044484259165,2.032087221624539,0.15560891391377396,-0.013239761715034604
2025_06_BUF_ATL,00-0034857,26.0,30.726509451392864,2.8758789948245864,29.95660446138154,2.545609414131706,0.7699049900113231,0.33026958069288037
2025_06_CHI_WAS,00-0039910,26.0,28.793226455008416,2.275887830581815,27.023075222511,2.0325505608103023,1.7701512324974154,0.2433372697715126
